,index,order,subject,threshold,day,lp_duration,lp_met,ipi,past_he_duration,rew_dummy,gcamp_lp,gcamp_lp_per_sec,gcamp_lp_mod,gcamp_lp_mod_per_sec,gcamp_zscore,gcamp_mod_zscore,gcamp_lp_per_sec_zscore,gcamp_lp_mod_per_sec_zscore
108,179,33,3201,1600,4,3133.830400004983,1,4255.526399999857,0.0,0.0,76607963,24445471.90552437,47325995.7,15101645.481492791,0.6287663508718743,0.5326846205021112,-0.0,-0.6231694028695841
109,180,34,3201,1600,4,508.26879999786615,0,56633.89440000057,937.7536000162364,1.0,12325527,24250016.92028263,7306859.2,14375974.287681391,-0.5324713939896358,-0.5252498377006233,-0.0,-0.906406623798632
110,181,35,3201,1600,4,127.40479999780656,0,2658.329599998892,0.0,0.0,3404473,26721701.223647878,1992892.2,15642206.573334051,-0.6936268397594221,-0.6657283510001846,0.0,-0.4121826326888149
111,182,36,3201,1600,4,639.4048000052571,0,573.4912000000477,0.0,0.0,15722410,24589133.51897066,9236854.0,14446019.17271196,-0.4711079952149161,-0.4742290466080395,-0.0,-0.8790673567234829
112,183,37,3201,1600,4,160.26240000128746,0,6139.686399996281,0.0,0.0,4419143,27574421.69819308,2600003.3,16223414.225539569,-0.6752972123231091,-0.6496789354250293,0.0,-0.1853310756788626
113,184,38,3201,1600,4,651.6415999978781,0,110.63040000200272,0.0,0.0,15495554,23779258.414518744,9342092.4,14336243.11282524,-0.4752060625291091,-0.4714469943344697,-1.0,-0.9219141258828712
114,185,39,3201,1600,4,1110.4064000025392,0,340.0063999965787,0.0,0.0,26389446,23765574.47790256,15659704.6,14102678.622857532,-0.2784120490159179,-0.3044364032903081,-1.0,-1.0130768420142728
115,186,40,3201,1600,4,242.13120000064373,0,5988.18559999764,0.0,0.0,6291071,25982075.007199712,3565648.8,14726102.212315142,-0.6414815453302914,-0.6241514068923132,0.0,-0.7697479536066166
116,187,41,3201,1600,4,2429.305600002408,1,9490.188799999654,0.0,0.0,56415644,23222950.62422121,33544489.2,13808262.410446322,0.2639997919461325,0.1683606523351577,-1.0,-1.1279906356317726
117,188,42,3201,1600,4,2859.487999998033,1,29449.42080000043,651.0080000013113,1.0,64700174,22626489.077780537,39393915.5,13776562.622409012,0.4136566738732194,0.3229944146975047,-1.0,-1.1403634016231714
118,189,43,3201,1600,4,2609.5808000043035,1,46324.41600000113,10669.798399992287,1.0,59462897,22786378.94634339,35958250.6,13779320.647952614,0.3190472578160082,0.2321701590430217,-1.0,-1.139286914783287
119,190,44,3201,1600,4,1466.9120000004768,0,31923.238399997357,4005.977600000799,1.0,34017015,23189540.34051732,20347254.3,13870807.723976206,-0.1406229175596121,-0.1805176787529135,-1.0,-1.1035785314482014
120,191,45,3201,1600,4,315.8848000019789,0,4042.636799998581,0.0,0.0,7721978,24445551.036174025,4559313.1,14433467.833752804,-0.6156327548801824,-0.5978831813683593,-0.0,-0.8839662784335456
121,192,46,3201,1600,4,2920.838399998844,1,5312.294399999082,0.0,0.0,67295203,23039687.166543223,40208907.2,13766221.095975704,0.4605348852684787,0.3445393024183886,-1.0,-1.144399809891977
122,193,47,3201,1600,4,1872.147199995816,1,39631.88480000198,954.3936000019312,1.0,42528362,22716355.85070183,25708395.2,13732037.309917437,0.0131313271615085,-0.0387920897115303,-1.0,-1.157742106853118
123,194,48,3201,1600,4,1589.676799997687,0,38460.44160000235,217.152000002563,1.0,36244576,22799965.376643054,21837736.4,13737217.779130807,-0.1003828757512797,-0.1411157198194824,-1.0,-1.1557201143644849
124,195,49,3201,1600,4,168.3775999993086,0,110.63040000200272,0.0,0.0,4334092,25740312.250666343,2541902.7,15096442.163390126,-0.6768336262735422,-0.6512148662860626,-0.0,-0.6252003135238553
125,196,50,3201,1600,4,2965.9839999973774,1,393.1264000013471,0.0,0.0,65636090,22129617.017508537,40153908.4,13538140.596859423,0.4305636402678938,0.3430853698559056,-1.0,-1.233422065796205
126,197,51,3201,1600,4,2249.1968000009656,1,2371.4431999996305,0.0,1.0,50865623,22615016.6139211,30652498.8,13628197.763746971,0.1637407745377999,0.0919088204234045,-1.0,-1.1982717912758671
127,198,52,3201,1600,4,2462.2016000002623,1,73312.16640000045,1200.140799999237,1.0,55186258,22413379.1481551,33447067.5,13584211.58527248,0.2417914016759767,0.1657852401093919,-1.0,-1.2154400667381586
128,199,53,3201,1600,4,160.2496000006795,0,98854.18240000308,413.5168000012636,1.0,3759991,23463340.93803701,2395654.9,14949521.870818034,-0.6872045423751463,-0.6550810313407819,-1.0,-0.6825448735960816
129,200,54,3201,1600,4,2568.582400001585,1,3301.235199995339,0.0,0.0,57277240,22299163.92791785,34774396.1,13538361.120896311,0.2795641958218925,0.2008741197332188,-1.0,-1.233335992908252
130,201,55,3201,1600,4,180.7423999980092,0,44661.51680000126,4685.798399992287,1.0,4450777,24624974.549685206,2690076.4,14883482.791141592,-0.6747257561508361,-0.6472977886892136,-0.0,-0.7083206320384495
131,202,56,3201,1600,4,168.39039999991655,0,2748.3392000049357,0.0,0.0,4224945,25090177.349790093,2575971.2,15297613.16560372,-0.6788053252946932,-0.6503142411541515,-0.0,-0.5466811217956822
